Index	Red	Green	Blue
0	1	1	7
1	1	1	53
2	1	1	81
3	1	1	98
4	1	1	115
5	1	1	132
6	1	1	149
7	1	1	160
8	1	1	174
9	1	13	182
10	1	30	198
11	1	42	209
12	1	53	220
13	1	64	232
14	1	75	243
15	1	85	254
16	1	89	254
17	1	98	254
18	1	109	254
19	1	121	254
20	1	126	254
21	1	137	254
22	1	149	254
23	1	154	254
24	1	165	254
25	1	169	254
26	1	177	254
27	1	182	254
28	1	192	254
29	1	198	254
30	1	209	254
31	1	215	254
32	1	220	254
33	1	232	254
34	1	237	254
35	1	243	254
36	1	254	254
37	1	254	254
38	1	254	254
39	1	254	254
40	1	254	254
41	1	254	254
42	1	254	254
43	1	254	254
44	1	254	254
45	1	254	254
46	1	254	254
47	1	254	254
48	1	254	254
49	1	254	254
50	1	254	238
51	10	254	222
52	18	254	206
53	27	254	191
54	36	254	175
55	53	254	143
56	62	254	127
57	70	254	111
58	79	254	95
59	87	254	79
60	96	254	64
61	105	254	48
62	114	254	32
63	122	254	16
64	128	254	1
65	134	254	1
66	139	252	1
67	148	250	1
68	156	248	1
69	164	245	1
70	172	243	1
71	181	241	1
72	189	239	1
73	196	237	1
74	204	235	1
75	213	233	1
76	221	231	1
77	229	228	1
78	237	226	1
79	246	224	1
80	254	222	1
81	254	222	1
82	254	219	1
83	254	217	1
84	254	214	1
85	254	211	1
86	254	209	1
87	254	206	1
88	254	203	1
89	254	201	1
90	254	198	1
91	254	198	1
92	254	195	1
93	254	193	1
94	254	191	1
95	254	188	1
96	254	186	1
97	254	184	1
98	254	182	1
99	254	180	1
100	254	180	1
101	254	176	1
102	254	173	1
103	254	169	1
104	254	166	1
105	254	162	1
106	254	159	1
107	254	159	1
108	254	155	1
109	254	152	1
110	254	148	1
111	254	145	1
112	254	141	1
113	254	141	1
114	254	138	1
115	254	134	1
116	254	129	1
117	254	131	1
118	254	127	1
119	254	127	1
120	254	122	1
121	254	118	1
122	254	114	1
123	254	110	1
124	254	110	1
125	254	105	1
126	254	101	1
127	254	97	1
128	254	93	1
129	254	93	1
130	254	88	1
131	254	84	1
132	254	80	1
133	254	76	1
134	254	76	1
135	254	71	1
136	254	66	1
137	254	68	1
138	254	68	1
139	254	64	1
140	254	59	1
141	254	55	1
142	254	55	1
143	254	50	1
144	254	46	1
145	254	41	1
146	254	41	1
147	254	37	1
148	254	32	1
149	254	28	1
150	254	28	1
151	254	23	1
152	254	19	1
153	254	14	1
154	254	14	1
155	254	10	1
156	254	5	1
157	254	1	1
158	254	1	1
159	254	1	1
160	252	14	14
161	250	26	26
162	250	26	26
163	248	39	39
164	245	52	52
165	245	52	52
166	243	64	64
167	241	76	76
168	239	89	89
169	239	89	89
170	237	102	102
171	235	115	115
172	235	115	115
173	233	127	127
174	231	140	140
175	231	140	140
176	228	153	153
177	226	166	166
178	224	178	178
179	224	178	178
180	222	183	183
181	222	188	188
182	222	188	188
183	222	192	192
184	222	194	194
185	222	194	194
186	222	196	196
187	222	199	199
188	222	199	199
189	222	201	201
190	222	203	203
191	222	203	203
192	222	205	205
193	222	207	207
194	222	207	207
195	222	209	209
196	222	211	211
197	222	211	211
198	222	213	213
199	222	216	216
200	222	216	216
201	222	218	218
202	222	220	220
203	222	220	220
204	222	222	222
205	222	222	222
206	222	222	222
207	224	224	224
208	226	226	226
209	226	226	226
210	228	228	228
211	231	231	231
212	231	231	231
213	233	233	233
214	235	235	235
215	235	235	235
216	237	237	237
217	237	237	237
218	239	239	239
219	241	241	241
220	241	241	241
221	243	243	243
222	245	245	245
223	245	245	245
224	248	248	248
225	250	250	250
226	250	250	250
227	252	252	252
228	252	252	252
229	254	254	254
230	254	254	254
231	254	254	254
232	254	254	254
233	254	254	254
234	254	254	254
235	254	254	254
236	254	254	254
237	254	254	254
238	254	254	254
239	254	254	254
240	254	254	254
241	254	254	254
242	254	254	254
243	254	254	254
244	254	254	254
245	254	254	254
246	254	254	254
247	254	254	254
248	254	254	254
249	254	254	254
250	254	254	254
251	254	254	254
252	254	254	254
253	254	254	254
254	254	254	254
255	254	254	254
