Index	Red	Green	Blue
0	1	1	7
1	1	1	24
2	1	1	47
3	1	1	64
4	1	1	85
5	1	1	98
6	1	1	115
7	1	1	132
8	1	1	154
9	1	1	169
10	1	7	177
11	1	24	192
12	1	42	209
13	1	59	226
14	1	70	237
15	1	85	254
16	1	98	254
17	1	109	254
18	1	121	254
19	1	137	254
20	1	149	254
21	1	160	254
22	1	174	254
23	1	182	254
24	1	192	254
25	1	204	254
26	1	215	254
27	1	226	254
28	1	237	254
29	1	248	254
30	1	254	254
31	1	254	254
32	1	254	254
33	1	254	254
34	1	254	254
35	1	254	254
36	1	254	254
37	1	254	254
38	1	254	254
39	1	254	238
40	10	254	222
41	27	254	191
42	45	254	159
43	53	254	143
44	70	254	111
45	79	254	95
46	96	254	64
47	105	254	48
48	122	254	16
49	128	254	1
50	139	252	1
51	148	250	1
52	156	248	1
53	172	243	1
54	181	241	1
55	189	239	1
56	204	235	1
57	213	233	1
58	221	231	1
59	237	226	1
60	246	224	1
61	254	222	1
62	254	222	1
63	254	217	1
64	254	214	1
65	254	211	1
66	254	209	1
67	254	206	1
68	254	201	1
69	254	198	1
70	254	195	1
71	254	193	1
72	254	191	1
73	254	188	1
74	254	186	1
75	254	184	1
76	254	182	1
77	254	180	1
78	254	176	1
79	254	169	1
80	254	166	1
81	254	162	1
82	254	159	1
83	254	155	1
84	254	152	1
85	254	148	1
86	254	148	1
87	254	145	1
88	254	141	1
89	254	138	1
90	254	134	1
91	254	129	1
92	254	131	1
93	254	127	1
94	254	122	1
95	254	118	1
96	254	114	1
97	254	110	1
98	254	105	1
99	254	105	1
100	254	101	1
101	254	97	1
102	254	93	1
103	254	88	1
104	254	84	1
105	254	80	1
106	254	80	1
107	254	76	1
108	254	71	1
109	254	66	1
110	254	68	1
111	254	68	1
112	254	64	1
113	254	59	1
114	254	55	1
115	254	50	1
116	254	50	1
117	254	46	1
118	254	41	1
119	254	37	1
120	254	37	1
121	254	32	1
122	254	28	1
123	254	23	1
124	254	23	1
125	254	19	1
126	254	14	1
127	254	14	1
128	254	10	1
129	254	5	1
130	254	1	1
131	254	1	1
132	254	1	1
133	252	14	14
134	252	14	14
135	250	26	26
136	248	39	39
137	248	39	39
138	245	52	52
139	243	64	64
140	243	64	64
141	241	76	76
142	239	89	89
143	239	89	89
144	237	102	102
145	235	115	115
146	235	115	115
147	233	127	127
148	233	127	127
149	231	140	140
150	228	153	153
151	228	153	153
152	226	166	166
153	224	178	178
154	224	178	178
155	222	183	183
156	222	183	183
157	222	188	188
158	222	192	192
159	222	192	192
160	222	194	194
161	222	194	194
162	222	196	196
163	222	199	199
164	222	199	199
165	222	201	201
166	222	201	201
167	222	203	203
168	222	203	203
169	222	205	205
170	222	207	207
171	222	207	207
172	222	209	209
173	222	209	209
174	222	211	211
175	222	211	211
176	222	213	213
177	222	213	213
178	222	216	216
179	222	216	216
180	222	218	218
181	222	218	218
182	222	220	220
183	222	222	222
184	222	222	222
185	222	222	222
186	222	222	222
187	224	224	224
188	224	224	224
189	226	226	226
190	226	226	226
191	228	228	228
192	228	228	228
193	231	231	231
194	231	231	231
195	233	233	233
196	233	233	233
197	235	235	235
198	235	235	235
199	237	237	237
200	237	237	237
201	239	239	239
202	239	239	239
203	241	241	241
204	241	241	241
205	241	241	241
206	243	243	243
207	243	243	243
208	245	245	245
209	245	245	245
210	248	248	248
211	248	248	248
212	250	250	250
213	250	250	250
214	252	252	252
215	252	252	252
216	254	254	254
217	254	254	254
218	254	254	254
219	254	254	254
220	254	254	254
221	254	254	254
222	254	254	254
223	254	254	254
224	254	254	254
225	254	254	254
226	254	254	254
227	254	254	254
228	254	254	254
229	254	254	254
230	254	254	254
231	254	254	254
232	254	254	254
233	254	254	254
234	254	254	254
235	254	254	254
236	254	254	254
237	254	254	254
238	254	254	254
239	254	254	254
240	254	254	254
241	254	254	254
242	254	254	254
243	254	254	254
244	254	254	254
245	254	254	254
246	254	254	254
247	254	254	254
248	254	254	254
249	254	254	254
250	254	254	254
251	254	254	254
252	254	254	254
253	254	254	254
254	254	254	254
255	254	254	254
